query_index,query_path,query_pid,transition,baseline_top1_path,baseline_top1_pid,semantic_top1_path,semantic_top1_pid
2262,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0628/0628_011_01_0303afternoon_1609_1_ex.jpg,628,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0656/0656_016_01_0303afternoon_1801_0_ex.jpg,656,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0628/0628_003_14_0303afternoon_1354_2.jpg,628
2263,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0628/0628_019_01_0303afternoon_1616_6.jpg,628,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2971/2971_025_01_0114afternoon_1640_2.jpg,2971,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0628/0628_006_05_0303afternoon_1598_0.jpg,628
2289,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0634/0634_000_14_0303afternoon_1371_3.jpg,634,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0634/0634_015_01_0303afternoon_1623_6.jpg,634,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2982/2982_002_14_0114afternoon_1661_1.jpg,2982
2295,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0635/0635_011_07_0303afternoon_1581_0.jpg,635,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0986/0986_019_14_0113morning_0534_1.jpg,986,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0635/0635_012_01_0303afternoon_1625_0.jpg,635
2299,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0637/0637_005_05_0303afternoon_1637_2.jpg,637,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0289/0289_000_01_0303morning_1672_1.jpg,289,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0637/0637_016_01_0303afternoon_1650_3.jpg,637
2329,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0647/0647_002_14_0303afternoon_1475_0.jpg,647,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0612/0612_004_14_0303afternoon_1271_1.jpg,612,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0647/0647_020_01_0303afternoon_1740_5_ex.jpg,647
2330,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0647/0647_003_14_0303afternoon_1475_0_ex.jpg,647,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0612/0612_004_14_0303afternoon_1271_1.jpg,612,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0647/0647_020_01_0303afternoon_1740_5_ex.jpg,647
2337,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0650/0650_002_14_0303afternoon_1498_0.jpg,650,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2954/2954_019_01_0114afternoon_1501_0.jpg,2954,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0650/0650_007_01_0303afternoon_1749_8.jpg,650
2350,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0653/0653_005_14_0303afternoon_1533_0_ex.jpg,653,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1596/1596_016_09_0113afternoon_0496_3.jpg,1596,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0653/0653_017_01_0303afternoon_1806_1.jpg,653
2358,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0657/0657_016_01_0303afternoon_1817_7.jpg,657,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0520/0520_021_01_0303afternoon_0633_1.jpg,520,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0657/0657_003_14_0303afternoon_1566_1_ex.jpg,657
2453,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0675/0675_033_07_0303afternoon_0241_3.jpg,675,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2889/2889_005_01_0114afternoon_1053_1.jpg,2889,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0675/0675_062_14_0303afternoon_0307_1.jpg,675
2556,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0694/0694_036_04_0303afternoon_0477_1.jpg,694,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1868/1868_053_05_0302morning_1222_0.jpg,1868,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0694/0694_043_07_0303afternoon_0469_2.jpg,694
2609,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_095_04_0303afternoon_0597_0_ex.jpg,702,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_148_07_0303afternoon_0608_2_ex.jpg,702,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2978/2978_007_05_0114afternoon_1644_2.jpg,2978
2611,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_107_04_0303afternoon_0603_0_ex.jpg,702,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_147_07_0303afternoon_0608_2.jpg,702,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1587/1587_021_10_0113afternoon_0308_1.jpg,1587
2614,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_059_09_0303afternoon_0498_0_ex.jpg,702,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1691/1691_024_08_0113afternoon_1822_2.jpg,1691,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_116_04_0303afternoon_0608_0_ex.jpg,702
2617,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_149_05_0303afternoon_0622_0.jpg,702,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0702/0702_087_04_0303afternoon_0593_0_ex.jpg,702,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0479/0479_009_14_0303afternoon_0339_2_ex.jpg,479
2637,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0705/0705_028_13_0302afternoon_1309_0.jpg,705,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0475/0475_010_14_0303afternoon_0294_3.jpg,475,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0705/0705_049_08_0302afternoon_1471_0_ex.jpg,705
2673,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0709/0709_049_06_0303afternoon_0677_0.jpg,709,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\3048/3048_080_05_0114afternoon_1670_0.jpg,3048,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0709/0709_068_07_0303afternoon_0675_1.jpg,709
2687,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0711/0711_006_13_0303afternoon_0668_2.jpg,711,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0711/0711_013_11_0303afternoon_0664_2.jpg,711,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1893/1893_008_12_0302noon_0166_1.jpg,1893
2719,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0716/0716_057_07_0303afternoon_0711_0_ex.jpg,716,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2150/2150_028_01_0302afternoon_1577_4_ex.jpg,2150,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0716/0716_006_12_0303afternoon_0693_0_ex.jpg,716
2734,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0718/0718_035_12_0302afternoon_1290_2.jpg,718,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0718/0718_045_08_0302afternoon_1210_1.jpg,718,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1179/1179_004_13_0113morning_1420_0_ex.jpg,1179
2754,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0722/0722_052_07_0303afternoon_0739_4_ex.jpg,722,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0286/0286_018_07_0303morning_1660_0_ex.jpg,286,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0722/0722_059_14_0303afternoon_0798_3.jpg,722
2795,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0732/0732_063_07_0303afternoon_0818_2_ex.jpg,732,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0674/0674_035_07_0303afternoon_0229_2_ex.jpg,674,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0732/0732_039_06_0303afternoon_0821_0_ex.jpg,732
2820,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0736/0736_041_04_0303afternoon_0824_0.jpg,736,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0274/0274_006_01_0303morning_1589_2_ex.jpg,274,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0736/0736_066_01_0303afternoon_0848_0.jpg,736
2863,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0743/0743_001_13_0303afternoon_0858_1_ex.jpg,743,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0691/0691_010_11_0303afternoon_0431_0.jpg,691,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0743/0743_065_15_0303afternoon_0911_0_ex.jpg,743
2916,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0752/0752_034_04_0303afternoon_0897_1_ex.jpg,752,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2204/2204_009_01_0302afternoon_0451_2_ex.jpg,2204,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0752/0752_006_12_0303afternoon_0881_1.jpg,752
2954,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0760/0760_014_13_0303afternoon_0915_0.jpg,760,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0672/0672_037_06_0303afternoon_0257_0.jpg,672,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0760/0760_027_11_0303afternoon_0910_0_ex.jpg,760
2962,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0763/0763_008_13_0303afternoon_0948_1.jpg,763,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0763/0763_018_11_0303afternoon_0944_1_ex.jpg,763,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1192/1192_006_11_0113noon_0031_3.jpg,1192
2973,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0765/0765_015_11_0303afternoon_0948_0_ex.jpg,765,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1997/1997_030_11_0302noon_1658_0_ex.jpg,1997,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0765/0765_021_13_0302afternoon_1463_2.jpg,765
2977,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0767/0767_004_13_0303afternoon_0953_0.jpg,767,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0719/0719_006_11_0303afternoon_0707_1.jpg,719,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0767/0767_021_11_0303afternoon_0952_1.jpg,767
2997,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0772/0772_027_11_0303afternoon_0970_0_ex.jpg,772,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0884/0884_011_11_0303afternoon_1729_0_ex.jpg,884,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0772/0772_009_13_0303afternoon_0974_0_ex.jpg,772
3096,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0793/0793_030_11_0303afternoon_1149_2.jpg,793,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0794/0794_020_09_0303afternoon_1066_0.jpg,794,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0793/0793_022_13_0303afternoon_1155_3.jpg,793
3105,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0794/0794_038_04_0303afternoon_1166_1_ex.jpg,794,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0794/0794_046_07_0303afternoon_1145_4.jpg,794,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2989/2989_005_05_0114afternoon_1696_1_ex.jpg,2989
3106,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0794/0794_044_07_0303afternoon_1143_2.jpg,794,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0825/0825_028_08_0303afternoon_1313_0.jpg,825,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0794/0794_027_06_0303afternoon_1172_1.jpg,794
3123,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0796/0796_047_07_0303afternoon_1148_2.jpg,796,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0796/0796_031_04_0303afternoon_1166_0_ex.jpg,796,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2638/2638_000_01_0114noon_0565_3.jpg,2638
3132,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0799/0799_003_13_0303afternoon_1161_1_ex.jpg,799,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0892/0892_004_13_0303afternoon_1780_1.jpg,892,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0799/0799_019_11_0303afternoon_1157_1.jpg,799
3172,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0809/0809_012_13_0303afternoon_1245_1.jpg,809,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2350/2350_008_13_0302afternoon_1478_2.jpg,2350,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0809/0809_032_11_0303afternoon_1238_0_ex.jpg,809
3221,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0821/0821_001_13_0303afternoon_1319_2_ex.jpg,821,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2342/2342_000_13_0302afternoon_1376_0.jpg,2342,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0821/0821_012_12_0303afternoon_1316_1.jpg,821
3241,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0826/0826_008_11_0303afternoon_1343_2_ex.jpg,826,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0842/0842_012_11_0303afternoon_1432_0_ex.jpg,842,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0826/0826_002_13_0303afternoon_1349_3.jpg,826
3280,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0838/0838_042_14_0303afternoon_1243_2.jpg,838,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0838/0838_038_07_0303afternoon_1414_0.jpg,838,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0892/0892_062_07_0303afternoon_1764_5_ex.jpg,892
3287,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0839/0839_005_04_0303afternoon_1429_0.jpg,839,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0839/0839_015_05_0303afternoon_1458_6.jpg,839,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0241/0241_006_01_0303morning_1374_0.jpg,241
3290,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0840/0840_011_13_0303afternoon_1427_0_ex.jpg,840,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0581/0581_033_01_0303afternoon_1379_0_ex.jpg,581,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0840/0840_025_11_0303afternoon_1425_2_ex.jpg,840
3291,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0840/0840_051_14_0303afternoon_1286_10.jpg,840,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0283/0283_016_05_0303morning_1663_4_ex.jpg,283,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0840/0840_042_07_0303afternoon_1466_2_ex.jpg,840
3320,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0846/0846_077_15_0303afternoon_1541_1.jpg,846,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2335/2335_046_10_0302afternoon_1337_0.jpg,2335,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0846/0846_057_07_0303afternoon_1499_0_ex.jpg,846
3322,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0846/0846_010_13_0303afternoon_1492_3.jpg,846,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2046/2046_026_01_0302afternoon_0582_0.jpg,2046,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0846/0846_024_11_0303afternoon_1486_1.jpg,846
3323,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0846/0846_011_13_0303afternoon_1492_3_ex.jpg,846,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2167/2167_011_01_0302afternoon_1685_1_ex.jpg,2167,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0846/0846_024_11_0303afternoon_1486_1.jpg,846
3356,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0851/0851_022_12_0303afternoon_1495_0_ex.jpg,851,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2439/2439_013_05_0114morning_0882_0_ex.jpg,2439,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0851/0851_028_11_0303afternoon_1497_1.jpg,851
3362,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0854/0854_041_04_0303afternoon_1610_1.jpg,854,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0270/0270_013_14_0303morning_1814_2_ex.jpg,270,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0854/0854_055_07_0303afternoon_1597_1.jpg,854
3382,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0858/0858_011_06_0303afternoon_1570_3_ex.jpg,858,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0952/0952_010_05_0113morning_0376_0_ex.jpg,952,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0858/0858_034_01_0303afternoon_1599_6.jpg,858
3395,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0861/0861_025_07_0303afternoon_1536_2.jpg,861,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1846/1846_012_07_0302morning_0828_0.jpg,1846,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0861/0861_014_04_0303afternoon_1561_0_ex.jpg,861
3396,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0861/0861_044_01_0303afternoon_1600_1.jpg,861,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0642/0642_015_01_0303afternoon_1692_0.jpg,642,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0861/0861_022_04_0303afternoon_1565_0_ex.jpg,861
3400,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0862/0862_001_12_0303afternoon_1552_4_ex.jpg,862,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0815/0815_023_07_0303afternoon_1275_2.jpg,815,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0862/0862_020_07_0303afternoon_1563_1_ex.jpg,862
3405,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0863/0863_039_04_0303afternoon_1575_0.jpg,863,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2654/2654_009_07_0114noon_1296_1_ex.jpg,2654,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0863/0863_049_05_0303afternoon_1605_2.jpg,863
3424,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0866/0866_005_13_0303afternoon_1597_1_ex.jpg,866,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0865/0865_003_13_0303afternoon_1583_0_ex.jpg,865,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0866/0866_016_11_0303afternoon_1592_1.jpg,866
3439,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0869/0869_006_13_0303afternoon_1611_1.jpg,869,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0723/0723_053_07_0303afternoon_0759_3.jpg,723,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0869/0869_013_11_0303afternoon_1605_0.jpg,869
3447,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0871/0871_040_03_0303afternoon_1663_1.jpg,871,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0871/0871_034_07_0303afternoon_1600_0_ex.jpg,871,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1651/1651_017_04_0113afternoon_1303_0.jpg,1651
3470,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0876/0876_023_06_0303afternoon_1681_0.jpg,876,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0717/0717_034_06_0303afternoon_0717_0_ex.jpg,717,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0876/0876_008_09_0303afternoon_1261_2.jpg,876
3491,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0882/0882_002_13_0303afternoon_1698_1.jpg,882,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0437/0437_019_01_0303afternoon_0058_0.jpg,437,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0882/0882_012_11_0303afternoon_1693_0.jpg,882
3494,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0882/0882_032_07_0303afternoon_1691_1.jpg,882,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2056/2056_016_07_0302afternoon_0646_0_ex.jpg,2056,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0882/0882_027_06_0303afternoon_1728_0.jpg,882
3540,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0893/0893_007_13_0303afternoon_1787_3_ex.jpg,893,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0115/0115_003_01_0303morning_0559_0_ex.jpg,115,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0893/0893_016_11_0303afternoon_1780_1.jpg,893
3549,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0895/0895_009_12_0303afternoon_1785_0_ex.jpg,895,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0895/0895_024_07_0303afternoon_1780_1_ex.jpg,895,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0871/0871_008_12_0303afternoon_1611_0.jpg,871
3576,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0901/0901_006_13_0303afternoon_1848_3.jpg,901,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0732/0732_004_13_0303afternoon_0805_3.jpg,732,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0901/0901_012_12_0303afternoon_1841_2.jpg,901
3662,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0931/0931_005_05_0113morning_0268_0.jpg,931,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0911/0911_003_01_0113morning_0303_0.jpg,911,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0931/0931_002_01_0113morning_0408_0.jpg,931
3794,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0972/0972_006_07_0113morning_0460_0.jpg,972,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1201/1201_157_07_0114morning_0384_0.jpg,1201,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0972/0972_005_01_0113morning_0620_1.jpg,972
3807,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0976/0976_007_07_0113morning_0489_1.jpg,976,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\0976/0976_002_01_0113morning_0648_0.jpg,976,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2197/2197_016_07_0302afternoon_0349_0.jpg,2197
4002,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1037/1037_064_04_0113morning_1157_1_ex.jpg,1037,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1188/1188_047_04_0113morning_1692_0.jpg,1188,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1037/1037_026_13_0113morning_1213_1.jpg,1037
4029,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1045/1045_080_06_0113morning_1158_1.jpg,1045,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1045/1045_098_07_0113morning_1330_1_ex.jpg,1045,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1186/1186_042_06_0113morning_1470_1.jpg,1186
4040,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1045/1045_093_07_0113morning_1328_0.jpg,1045,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2497/2497_072_07_0114morning_1466_2_ex.jpg,2497,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1045/1045_083_06_0113morning_1159_1_ex.jpg,1045
4125,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1073/1073_006_07_0113morning_0909_0.jpg,1073,correct_to_wrong,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1073/1073_005_01_0113morning_1073_0_ex.jpg,1073,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2206/2206_009_07_0302afternoon_0430_0.jpg,2206
4184,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1091/1091_018_11_0113morning_0934_0.jpg,1091,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1946/1946_003_13_0302noon_0882_0.jpg,1946,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1091/1091_032_13_0113morning_1073_1_ex.jpg,1091
4306,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1132/1132_003_01_0113morning_1746_2.jpg,1132,wrong_to_correct,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\2644/2644_000_01_0114noon_0614_0.jpg,2644,D:\deep-person-reid\reid-data\msmt17\MSMT17_V1\test\1132/1132_018_04_0113morning_1537_0_ex.jpg,1132
